user_id,pattern,confidence,p1,p2,p3,p4,m1,m2,m3,e1,e2,e3,r1,r2,total_score,is_mixed_pattern,notes
A_SYS_01,A,0.900,3,3,3,3,3,3,3,3,3,3,3,2,35,false,"Systematic Planner: Professional systematically decomposes complex tasks, plans meticulously for AI usage, monitors outputs critically at each step, learns from AI mistakes and adjusts strategy continuously, maintains healthy skepticism about AI capabilities"
A_SYS_02,A,0.900,3,3,3,3,3,3,3,3,3,3,3,2,35,false,"Detail-Oriented Strategist: Professional systematically decomposes complex tasks, plans meticulously for AI usage, monitors outputs critically at each step, learns from AI mistakes and adjusts strategy continuously, maintains healthy skepticism about AI capabilities"
A_SYS_03,A,0.900,3,3,3,3,3,3,3,3,3,3,3,2,35,false,"Process Optimizer: Professional systematically decomposes complex tasks, plans meticulously for AI usage, monitors outputs critically at each step, learns from AI mistakes and adjusts strategy continuously, maintains healthy skepticism about AI capabilities"
A_SYS_04,A,0.900,3,3,3,3,3,3,3,3,3,3,3,2,35,false,"Systematic Planner: Professional systematically decomposes complex tasks, plans meticulously for AI usage, monitors outputs critically at each step, learns from AI mistakes and adjusts strategy continuously, maintains healthy skepticism about AI capabilities"
A_SYS_05,A,0.900,3,3,3,3,3,3,3,3,3,3,3,2,35,false,"Detail-Oriented Strategist: Professional systematically decomposes complex tasks, plans meticulously for AI usage, monitors outputs critically at each step, learns from AI mistakes and adjusts strategy continuously, maintains healthy skepticism about AI capabilities"
A_SYS_06,A,0.900,3,3,3,3,3,3,3,3,3,3,3,2,35,false,"Process Optimizer: Professional systematically decomposes complex tasks, plans meticulously for AI usage, monitors outputs critically at each step, learns from AI mistakes and adjusts strategy continuously, maintains healthy skepticism about AI capabilities"
A_SYS_07,A,0.900,3,3,3,3,3,3,3,3,3,3,3,2,35,false,"Systematic Planner: Professional systematically decomposes complex tasks, plans meticulously for AI usage, monitors outputs critically at each step, learns from AI mistakes and adjusts strategy continuously, maintains healthy skepticism about AI capabilities"
A_SYS_08,A,0.900,3,3,3,3,3,3,3,3,3,3,3,2,35,false,"Detail-Oriented Strategist: Professional systematically decomposes complex tasks, plans meticulously for AI usage, monitors outputs critically at each step, learns from AI mistakes and adjusts strategy continuously, maintains healthy skepticism about AI capabilities"
A_SYS_09,A,0.900,3,3,3,3,3,3,3,3,3,3,3,2,35,false,"Process Optimizer: Professional systematically decomposes complex tasks, plans meticulously for AI usage, monitors outputs critically at each step, learns from AI mistakes and adjusts strategy continuously, maintains healthy skepticism about AI capabilities"
A_SYS_10,A,0.900,3,3,3,3,3,3,3,3,3,3,3,2,35,false,"Systematic Planner: Professional systematically decomposes complex tasks, plans meticulously for AI usage, monitors outputs critically at each step, learns from AI mistakes and adjusts strategy continuously, maintains healthy skepticism about AI capabilities"
B_ITER_01,B,0.780,2,2,3,2,3,3,2,3,2,2,3,1,28,false,"Iterative Optimizer: Uses AI iteratively, refining prompts based on outputs, validates results multiple times, learns to optimize approach over time, balances efficiency with quality, understands AI strengths and limitations well"
B_ITER_02,B,0.780,2,2,3,2,3,3,2,3,2,2,3,1,28,false,"Iterative Optimizer: Uses AI iteratively, refining prompts based on outputs, validates results multiple times, learns to optimize approach over time, balances efficiency with quality, understands AI strengths and limitations well"
B_ITER_03,B,0.780,2,2,3,2,3,3,2,3,2,2,3,1,28,false,"Iterative Optimizer: Uses AI iteratively, refining prompts based on outputs, validates results multiple times, learns to optimize approach over time, balances efficiency with quality, understands AI strengths and limitations well"
B_ITER_04,B,0.780,2,2,3,2,3,3,2,3,2,2,3,1,28,false,"Iterative Optimizer: Uses AI iteratively, refining prompts based on outputs, validates results multiple times, learns to optimize approach over time, balances efficiency with quality, understands AI strengths and limitations well"
B_ITER_05,B,0.780,2,2,3,2,3,3,2,3,2,2,3,1,28,false,"Iterative Optimizer: Uses AI iteratively, refining prompts based on outputs, validates results multiple times, learns to optimize approach over time, balances efficiency with quality, understands AI strengths and limitations well"
B_ITER_06,B,0.780,2,2,3,2,3,3,2,3,2,2,3,1,28,false,"Iterative Optimizer: Uses AI iteratively, refining prompts based on outputs, validates results multiple times, learns to optimize approach over time, balances efficiency with quality, understands AI strengths and limitations well"
B_ITER_07,B,0.780,2,2,3,2,3,3,2,3,2,2,3,1,28,false,"Iterative Optimizer: Uses AI iteratively, refining prompts based on outputs, validates results multiple times, learns to optimize approach over time, balances efficiency with quality, understands AI strengths and limitations well"
B_ITER_08,B,0.780,2,2,3,2,3,3,2,3,2,2,3,1,28,false,"Iterative Optimizer: Uses AI iteratively, refining prompts based on outputs, validates results multiple times, learns to optimize approach over time, balances efficiency with quality, understands AI strengths and limitations well"
