user_id,pattern,confidence,p1,p2,p3,p4,m1,m2,m3,e1,e2,e3,r1,r2,total_score,is_mixed_pattern,notes
I001,A,0.900,3,2,2,3,1,3,2,2,2,3,3,2,28,true,"Confidence: 90%"
I002,B,0.700,2,2,1,1,1,2,2,2,2,2,3,2,22,false,"Confidence: 70%"
I003,D,0.900,2,2,2,2,2,3,2,2,1,3,2,2,25,true,"Confidence: 90%"
I004,C,0.900,3,2,2,2,1,2,3,2,1,3,2,3,26,true,"Confidence: 90%"
I005,C,0.900,3,2,3,2,2,2,2,2,1,3,3,3,28,true,"Confidence: 90%"
I006,E,0.900,2,3,3,3,2,2,3,2,3,3,2,3,31,true,"Confidence: 90%"
I007,B,0.500,2,1,2,2,2,1,2,1,2,2,2,2,21,false,"Confidence: 50%"
I008,A,0.700,2,1,1,3,1,2,2,1,2,3,2,3,23,false,"Confidence: 70%"
I009,B,0.300,2,1,1,2,2,2,1,1,1,2,2,2,19,false,"Confidence: 30%"
I010,D,0.700,1,2,1,3,2,3,3,2,1,3,2,3,26,false,"Confidence: 70%"
I011,B,0.700,2,2,1,1,2,2,2,2,1,2,2,3,22,false,"Confidence: 70%"
I012,C,0.300,2,2,1,2,1,2,2,2,1,2,1,2,20,false,"Confidence: 30%"
I013,A,0.850,3,3,3,3,2,3,3,3,3,3,3,3,35,false,"Confidence: 85%"
I014,C,0.300,1,2,1,1,1,0,2,1,1,2,1,3,16,false,"Confidence: 30%"
I015,C,0.500,1,2,2,1,0,2,2,1,2,2,1,3,19,false,"Confidence: 50%"
I016,D,0.900,3,2,3,2,2,3,2,2,2,3,2,2,28,false,"Confidence: 90%"
I017,D,0.900,1,2,2,1,0,3,2,2,2,3,1,3,22,false,"Confidence: 90%"
I018,D,0.850,2,3,3,3,0,3,3,3,2,3,2,3,30,false,"Confidence: 85%"
I019,C,0.850,3,3,3,3,2,3,3,2,2,3,3,3,33,false,"Confidence: 85%"
I020,D,0.850,2,2,3,1,2,3,2,3,2,3,3,3,29,false,"Confidence: 85%"
I021,C,0.750,1,2,3,3,1,2,2,3,2,2,2,2,25,false,"Confidence: 75%"
I022,A,0.850,3,3,3,3,2,2,3,3,2,3,2,2,31,false,"Confidence: 85%"
I023,C,0.500,1,2,2,2,0,1,2,2,1,2,1,2,18,false,"Confidence: 50%"
I024,A,0.900,2,3,2,1,0,3,3,3,2,3,1,3,26,false,"Confidence: 90%"
I025,A,0.850,3,3,3,3,1,3,2,3,2,3,2,3,31,false,"Confidence: 85%"
I026,C,0.500,2,2,1,1,0,1,2,2,1,2,2,2,18,false,"Confidence: 50%"
I027,A,0.850,2,2,3,3,2,3,2,3,3,3,2,3,31,false,"Confidence: 85%"
I028,C,0.600,1,1,1,2,1,2,1,2,2,3,1,3,20,false,"Confidence: 60%"
I029,B,0.900,1,1,2,1,2,2,1,2,3,3,2,3,23,false,"Confidence: 90%"
I030,F,0.600,1,2,2,1,1,1,1,2,0,1,1,2,15,false,"Confidence: 60%"
I031,A,0.850,3,3,2,3,2,3,2,3,3,3,2,3,32,false,"Confidence: 85%"
I032,C,0.750,2,2,2,1,2,2,1,2,2,2,1,2,21,false,"Confidence: 75%"
I033,C,0.750,2,2,1,2,1,2,2,3,2,3,1,3,24,false,"Confidence: 75%"
I034,A,0.850,3,3,3,3,2,3,2,3,3,3,2,3,33,false,"Confidence: 85%"
I035,C,0.750,2,2,2,1,2,2,1,2,2,2,2,2,22,false,"Confidence: 75%"
I036,C,0.750,2,2,2,1,2,2,1,2,2,2,2,2,22,false,"Confidence: 75%"
I037,C,0.750,1,2,1,1,2,3,2,2,2,3,2,2,23,false,"Confidence: 75%"
I038,D,0.850,2,3,3,3,2,2,3,2,3,3,3,3,32,false,"Confidence: 85%"
I039,C,0.900,1,2,2,1,2,3,1,2,2,2,2,3,23,false,"Confidence: 90%"
I040,C,0.900,2,2,2,1,2,2,1,2,2,3,2,3,24,false,"Confidence: 90%"
I041,D,0.850,3,2,3,2,2,3,2,3,3,3,3,3,32,false,"Confidence: 85%"
I042,C,0.750,2,2,2,1,2,2,1,2,2,2,2,3,23,false,"Confidence: 75%"
I043,C,0.850,3,2,3,1,2,3,2,3,2,3,2,2,28,false,"Confidence: 85%"
I044,F,0.600,1,2,2,2,1,1,2,2,0,2,1,2,18,false,"Confidence: 60%"
I045,A,0.850,3,2,3,3,2,3,2,3,2,3,2,3,31,false,"Confidence: 85%"
I046,D,0.850,2,2,2,2,2,3,2,3,3,2,3,3,29,false,"Confidence: 85%"
I047,C,0.750,2,2,2,2,2,3,2,2,3,2,3,3,28,false,"Confidence: 75%"
I048,C,0.750,2,2,2,1,2,2,2,2,2,2,2,3,24,false,"Confidence: 75%"
I049,C,0.750,3,2,1,2,2,2,2,2,2,2,2,2,24,false,"Confidence: 75%"
